Pais;Ano;Media de Fertilidade
Brazil;2000;2247
Brazil;2001;2162
Brazil;2002;2081
Brazil;2003;2006
Brazil;2004;1973
Brazil;2005;1942
Brazil;2006;1896
Brazil;2007;1854
Brazil;2008;1815
Brazil;2009;1799
Brazil;2010;1786
Brazil;2011;1777
Brazil;2012;1766
Brazil;2013;1761
Brazil;2014;1775
Brazil;2015;1777
Brazil;2016;1727
Brazil;2017;1.74
Brazil;2018;1744
Brazil;2019;1705
Brazil;2020;1653
Brazil;2021;1638
Brazil;2022;1629
Brazil;2023;1619
Luxembourg;2000;1761
Luxembourg;2001;1662
Luxembourg;2002;1629
Luxembourg;2003;1.62
Luxembourg;2004;1657
Luxembourg;2005;1631
Luxembourg;2006;1646
Luxembourg;2007;1611
Luxembourg;2008;1606
Luxembourg;2009;1.59
Luxembourg;2010;1622
Luxembourg;2011;1.53
Luxembourg;2012;1572
Luxembourg;2013;1.55
Luxembourg;2014;1499
Luxembourg;2015;1464
Luxembourg;2016;1415
Luxembourg;2017;1392
Luxembourg;2018;1.38
Luxembourg;2019;1343
Luxembourg;2020;1361
Luxembourg;2021;1382
Luxembourg;2022;1.39
Luxembourg;2023;1396
Philippines;2000;3754
Philippines;2001;3719
Philippines;2002;3651
Philippines;2003;3591
Philippines;2004;3524
Philippines;2005;3448
Philippines;2006;3466
Philippines;2007;3403
Philippines;2008;3401
Philippines;2009;3376
Philippines;2010;3315
Philippines;2011;3236
Philippines;2012;3143
Philippines;2013;3042
Philippines;2014;2894
Philippines;2015;2829
Philippines;2016;2679
Philippines;2017;2525
Philippines;2018;2378
Philippines;2019;2215
Philippines;2020;2075
Philippines;2021;1.95
Philippines;2022;1929
Philippines;2023;1916
United States;2000;2.03
United States;2001;2011
United States;2002;2003
United States;2003;2025
United States;2004;2031
United States;2005;2.04
United States;2006;2087
United States;2007;2096
United States;2008;2053
United States;2009;1987
United States;2010;1916
United States;2011;1879
United States;2012;1862
United States;2013;1.84
United States;2014;1848
United States;2015;1832
United States;2016;1804
United States;2017;1753
United States;2018;1715
United States;2019;1684
United States;2020;1616
United States;2021;1634
United States;2022;1665
United States;2023;1624
World;2000;2754
World;2001;2714
World;2002;2684
World;2003;2659
World;2004;2647
World;2005;2.63
World;2006;2625
World;2007;2623
World;2008;2626
World;2009;2621
World;2010;2602
World;2011;2588
World;2012;2607
World;2013;2572
World;2014;2564
World;2015;2537
World;2016;2536
World;2017;2504
World;2018;2437
World;2019;2397
World;2020;2322
World;2021;2291
World;2022;2265
World;2023;2251
